sentence,classification,prev2,prev1,next1,next2
"i love the timers or the, you know the, the sensors on the, on the trash cans, i mean if they're working.",i,"i'm glad that something's you know happening, at least you're aware of it, and and i'm hoping that it's resolved soon.","but i just in general, i mean it's- i just feel like we need to like sit back and try to figure out what we could do differently, what did work, what didn't work, and i think that there's a lot that that has worked in the past and i think you're doing a lot of things.","but what i see: yesterday they did another cleanup of mcgardle roadway, which were also waiting- waiting for mcgardle roadway to be completed.",that's a project domey's working on and i want to thank them for that.
"but what i see: yesterday they did another cleanup of mcgardle roadway, which were also waiting- waiting for mcgardle roadway to be completed.",i,"but i just in general, i mean it's- i just feel like we need to like sit back and try to figure out what we could do differently, what did work, what didn't work, and i think that there's a lot that that has worked in the past and i think you're doing a lot of things.","i love the timers or the, you know the, the sensors on the, on the trash cans, i mean if they're working.",that's a project domey's working on and i want to thank them for that.,but i feel like all projects in my district are held up until the election or until until i'm out of office.
that's a project domey's working on and i want to thank them for that.,i,"i love the timers or the, you know the, the sensors on the, on the trash cans, i mean if they're working.","but what i see: yesterday they did another cleanup of mcgardle roadway, which were also waiting- waiting for mcgardle roadway to be completed.",but i feel like all projects in my district are held up until the election or until until i'm out of office.,"but but it's unfair that the people are paying the price for that and and so they're paying the price with, you know, pools not opening, with playgrounds not getting done with trails, not being done, with trash all over the place, different things that i feel like."
but i feel like all projects in my district are held up until the election or until until i'm out of office.,i,"but what i see: yesterday they did another cleanup of mcgardle roadway, which were also waiting- waiting for mcgardle roadway to be completed.",that's a project domey's working on and i want to thank them for that.,"but but it's unfair that the people are paying the price for that and and so they're paying the price with, you know, pools not opening, with playgrounds not getting done with trails, not being done, with trash all over the place, different things that i feel like.","okay, they deserve to at least have some response."
"but but it's unfair that the people are paying the price for that and and so they're paying the price with, you know, pools not opening, with playgrounds not getting done with trails, not being done, with trash all over the place, different things that i feel like.",i,that's a project domey's working on and i want to thank them for that.,but i feel like all projects in my district are held up until the election or until until i'm out of office.,"okay, they deserve to at least have some response.",we all represent.
"okay, they deserve to at least have some response.",i,but i feel like all projects in my district are held up until the election or until until i'm out of office.,"but but it's unfair that the people are paying the price for that and and so they're paying the price with, you know, pools not opening, with playgrounds not getting done with trails, not being done, with trash all over the place, different things that i feel like.",we all represent.,"we've, you know, every, we represent all the people, and so it just felt like we need to do a little bit better in those areas, regardless of- and every administration has done it i mean- so i mean every administration's had their projects they've held up, removed."
we all represent.,i,"but but it's unfair that the people are paying the price for that and and so they're paying the price with, you know, pools not opening, with playgrounds not getting done with trails, not being done, with trash all over the place, different things that i feel like.","okay, they deserve to at least have some response.","we've, you know, every, we represent all the people, and so it just felt like we need to do a little bit better in those areas, regardless of- and every administration has done it i mean- so i mean every administration's had their projects they've held up, removed.","but what i'm going to say is that for me, i would like to see more of an effort in terms of this, this area getting more attention."
"we've, you know, every, we represent all the people, and so it just felt like we need to do a little bit better in those areas, regardless of- and every administration has done it i mean- so i mean every administration's had their projects they've held up, removed.",i,"okay, they deserve to at least have some response.",we all represent.,"but what i'm going to say is that for me, i would like to see more of an effort in terms of this, this area getting more attention.",but i mean that stadium street over in sheridan.
"but what i'm going to say is that for me, i would like to see more of an effort in terms of this, this area getting more attention.",i,we all represent.,"we've, you know, every, we represent all the people, and so it just felt like we need to do a little bit better in those areas, regardless of- and every administration has done it i mean- so i mean every administration's had their projects they've held up, removed.",but i mean that stadium street over in sheridan.,"you know it's it's a lot of work, but i think it's a lot of work."
but i mean that stadium street over in sheridan.,i,"we've, you know, every, we represent all the people, and so it just felt like we need to do a little bit better in those areas, regardless of- and every administration has done it i mean- so i mean every administration's had their projects they've held up, removed.","but what i'm going to say is that for me, i would like to see more of an effort in terms of this, this area getting more attention.","you know it's it's a lot of work, but i think it's a lot of work.",but i think it's a lot of work.
"you know it's it's a lot of work, but i think it's a lot of work.",i,"but what i'm going to say is that for me, i would like to see more of an effort in terms of this, this area getting more attention.",but i mean that stadium street over in sheridan.,but i think it's a lot of work.,"but i and the things that are happening over there and the illegal dumping- and i do want to thank you because you, you and domie, have been very responsive, i mean truthfully."
but i think it's a lot of work.,i,but i mean that stadium street over in sheridan.,"you know it's it's a lot of work, but i think it's a lot of work.","but i and the things that are happening over there and the illegal dumping- and i do want to thank you because you, you and domie, have been very responsive, i mean truthfully.",but it shouldn't get to that point and it's my understanding it's.
"but i and the things that are happening over there and the illegal dumping- and i do want to thank you because you, you and domie, have been very responsive, i mean truthfully.",i,"you know it's it's a lot of work, but i think it's a lot of work.",but i think it's a lot of work.,but it shouldn't get to that point and it's my understanding it's.,"you know somebody who works for the city, it's their relative that's doing the dumping and people know who it is and they just keep it just keeps happening."
but it shouldn't get to that point and it's my understanding it's.,i,but i think it's a lot of work.,"but i and the things that are happening over there and the illegal dumping- and i do want to thank you because you, you and domie, have been very responsive, i mean truthfully.","you know somebody who works for the city, it's their relative that's doing the dumping and people know who it is and they just keep it just keeps happening.",so i just want to make sure that you're working on those issues that are quality of life issues for all of pittsburgh.
"you know somebody who works for the city, it's their relative that's doing the dumping and people know who it is and they just keep it just keeps happening.",i,"but i and the things that are happening over there and the illegal dumping- and i do want to thank you because you, you and domie, have been very responsive, i mean truthfully.",but it shouldn't get to that point and it's my understanding it's.,so i just want to make sure that you're working on those issues that are quality of life issues for all of pittsburgh.,i understand the importance of oakland.
so i just want to make sure that you're working on those issues that are quality of life issues for all of pittsburgh.,p,but it shouldn't get to that point and it's my understanding it's.,"you know somebody who works for the city, it's their relative that's doing the dumping and people know who it is and they just keep it just keeps happening.",i understand the importance of oakland.,i was born and raised there.
i understand the importance of oakland.,i,"you know somebody who works for the city, it's their relative that's doing the dumping and people know who it is and they just keep it just keeps happening.",so i just want to make sure that you're working on those issues that are quality of life issues for all of pittsburgh.,i was born and raised there.,i mean still have a gazillion friends there and family.
i was born and raised there.,i,so i just want to make sure that you're working on those issues that are quality of life issues for all of pittsburgh.,i understand the importance of oakland.,i mean still have a gazillion friends there and family.,"so i understand and appreciate and i want them to have that attention, but i also want to make sure that we're not forgetting about the other neighborhoods, thank you."
i mean still have a gazillion friends there and family.,i,i understand the importance of oakland.,i was born and raised there.,"so i understand and appreciate and i want them to have that attention, but i also want to make sure that we're not forgetting about the other neighborhoods, thank you.","thank you, councilman coghill."
"so i understand and appreciate and i want them to have that attention, but i also want to make sure that we're not forgetting about the other neighborhoods, thank you.",i,i was born and raised there.,i mean still have a gazillion friends there and family.,"thank you, councilman coghill.","thank you, madam chair."
"thank you, councilman coghill.",i,i mean still have a gazillion friends there and family.,"so i understand and appreciate and i want them to have that attention, but i also want to make sure that we're not forgetting about the other neighborhoods, thank you.","thank you, madam chair.","morning chris, hey sean, how are you good?"
"thank you, madam chair.",i,"so i understand and appreciate and i want them to have that attention, but i also want to make sure that we're not forgetting about the other neighborhoods, thank you.","thank you, councilman coghill.","morning chris, hey sean, how are you good?","getting back to the oakland thing real quick, just out of curiosity."
"morning chris, hey sean, how are you good?",i,"thank you, councilman coghill.","thank you, madam chair.","getting back to the oakland thing real quick, just out of curiosity.",so what was happening was the university was taking it upon themselves to pick up trash from students.
"getting back to the oakland thing real quick, just out of curiosity.",i,"thank you, madam chair.","morning chris, hey sean, how are you good?",so what was happening was the university was taking it upon themselves to pick up trash from students.,is that right?
so what was happening was the university was taking it upon themselves to pick up trash from students.,i,"morning chris, hey sean, how are you good?","getting back to the oakland thing real quick, just out of curiosity.",is that right?,or a ballpark trash or something like that.
is that right?,i,"getting back to the oakland thing real quick, just out of curiosity.",so what was happening was the university was taking it upon themselves to pick up trash from students.,or a ballpark trash or something like that.,"and then then then we decided to say, hey, wait, that confusion was going on or whatnot, and we decided we should do it and they just pay us."
or a ballpark trash or something like that.,i,so what was happening was the university was taking it upon themselves to pick up trash from students.,is that right?,"and then then then we decided to say, hey, wait, that confusion was going on or whatnot, and we decided we should do it and they just pay us.",is that summing up?
"and then then then we decided to say, hey, wait, that confusion was going on or whatnot, and we decided we should do it and they just pay us.",i,is that right?,or a ballpark trash or something like that.,is that summing up?,that's it.
is that summing up?,i,or a ballpark trash or something like that.,"and then then then we decided to say, hey, wait, that confusion was going on or whatnot, and we decided we should do it and they just pay us.",that's it.,last year they started working with a vendor.
that's it.,i,"and then then then we decided to say, hey, wait, that confusion was going on or whatnot, and we decided we should do it and they just pay us.",is that summing up?,last year they started working with a vendor.,they already had to do something.
last year they started working with a vendor.,i,is that summing up?,that's it.,they already had to do something.,"i consider hiring somebody private to pick up, but it was again, yeah, uniformly just doesn't fit into and it wasn't nearly as effective as we believe our program would be."
they already had to do something.,i,that's it.,last year they started working with a vendor.,"i consider hiring somebody private to pick up, but it was again, yeah, uniformly just doesn't fit into and it wasn't nearly as effective as we believe our program would be.","yeah, you know, we were still on the street and mayor receive information and others who visited us say those places were cleaning Delhi and area not."
"i consider hiring somebody private to pick up, but it was again, yeah, uniformly just doesn't fit into and it wasn't nearly as effective as we believe our program would be.",i,last year they started working with a vendor.,they already had to do something.,"yeah, you know, we were still on the street and mayor receive information and others who visited us say those places were cleaning Delhi and area not.",there had been the same issues on the street that anybody in the public right away would encounter.
"yeah, you know, we were still on the street and mayor receive information and others who visited us say those places were cleaning Delhi and area not.",i,they already had to do something.,"i consider hiring somebody private to pick up, but it was again, yeah, uniformly just doesn't fit into and it wasn't nearly as effective as we believe our program would be.",there had been the same issues on the street that anybody in the public right away would encounter.,"you know, large piles of recycling and waste during moving periods, blocking sidewalks, that sort of thing."
there had been the same issues on the street that anybody in the public right away would encounter.,i,"i consider hiring somebody private to pick up, but it was again, yeah, uniformly just doesn't fit into and it wasn't nearly as effective as we believe our program would be.","yeah, you know, we were still on the street and mayor receive information and others who visited us say those places were cleaning Delhi and area not.","you know, large piles of recycling and waste during moving periods, blocking sidewalks, that sort of thing.","you know, it just wasn't being as effective as i think we all would have hoped."
"you know, large piles of recycling and waste during moving periods, blocking sidewalks, that sort of thing.",i,"yeah, you know, we were still on the street and mayor receive information and others who visited us say those places were cleaning Delhi and area not.",there had been the same issues on the street that anybody in the public right away would encounter.,"you know, it just wasn't being as effective as i think we all would have hoped.","do you know if, if they are paying us as much as they were paying the private vendor, or how did?"
"you know, it just wasn't being as effective as i think we all would have hoped.",i,there had been the same issues on the street that anybody in the public right away would encounter.,"you know, large piles of recycling and waste during moving periods, blocking sidewalks, that sort of thing.","do you know if, if they are paying us as much as they were paying the private vendor, or how did?",i'm not previous.
"do you know if, if they are paying us as much as they were paying the private vendor, or how did?",i,"you know, large piles of recycling and waste during moving periods, blocking sidewalks, that sort of thing.","you know, it just wasn't being as effective as i think we all would have hoped.",i'm not previous.,"yes, i'm not perfect to the amounts that they were paying."
i'm not previous.,i,"you know, it just wasn't being as effective as i think we all would have hoped.","do you know if, if they are paying us as much as they were paying the private vendor, or how did?","yes, i'm not perfect to the amounts that they were paying.","yes, i'm not perfect to the system."
"yes, i'm not perfect to the amounts that they were paying.",i,"do you know if, if they are paying us as much as they were paying the private vendor, or how did?",i'm not previous.,"yes, i'm not perfect to the system.","i'd need to, i thinkcel the private vendor."
"yes, i'm not perfect to the system.",i,i'm not previous.,"yes, i'm not perfect to the amounts that they were paying.","i'd need to, i thinkcel the private vendor.","yeah, right, but councilmanny carlin said: you know pretty much the same way and hopefully others have to change that idea and you know, have some connectivity issues, that sort of thing, which we do all have a perfect group of folks we'd stop meeting and i'll tell you what you call."
"i'd need to, i thinkcel the private vendor.",b,"yes, i'm not perfect to the amounts that they were paying.","yes, i'm not perfect to the system.","yeah, right, but councilmanny carlin said: you know pretty much the same way and hopefully others have to change that idea and you know, have some connectivity issues, that sort of thing, which we do all have a perfect group of folks we'd stop meeting and i'll tell you what you call.",one or one in the high school know pretty much it's worth our while.
"yeah, right, but councilmanny carlin said: you know pretty much the same way and hopefully others have to change that idea and you know, have some connectivity issues, that sort of thing, which we do all have a perfect group of folks we'd stop meeting and i'll tell you what you call.",i,"yes, i'm not perfect to the system.","i'd need to, i thinkcel the private vendor.",one or one in the high school know pretty much it's worth our while.,"whatever they're paying us, it's not, they're paying for our labor."
one or one in the high school know pretty much it's worth our while.,i,"i'd need to, i thinkcel the private vendor.","yeah, right, but councilmanny carlin said: you know pretty much the same way and hopefully others have to change that idea and you know, have some connectivity issues, that sort of thing, which we do all have a perfect group of folks we'd stop meeting and i'll tell you what you call.","whatever they're paying us, it's not, they're paying for our labor.","i guess, how do you calculate what they pay?"
"whatever they're paying us, it's not, they're paying for our labor.",i,"yeah, right, but councilmanny carlin said: you know pretty much the same way and hopefully others have to change that idea and you know, have some connectivity issues, that sort of thing, which we do all have a perfect group of folks we'd stop meeting and i'll tell you what you call.",one or one in the high school know pretty much it's worth our while.,"i guess, how do you calculate what they pay?",just like we do in wilkinsburg.
"i guess, how do you calculate what they pay?",i,one or one in the high school know pretty much it's worth our while.,"whatever they're paying us, it's not, they're paying for our labor.",just like we do in wilkinsburg.,do we pick up wilkinsburg?
just like we do in wilkinsburg.,i,"whatever they're paying us, it's not, they're paying for our labor.","i guess, how do you calculate what they pay?",do we pick up wilkinsburg?,"yeah, yes, yeah."
do we pick up wilkinsburg?,b,"i guess, how do you calculate what they pay?",just like we do in wilkinsburg.,"yeah, yes, yeah.","so again, this is the cover, the city's cost, cover, the cost that we would already be doing if we weren't part."
"yeah, yes, yeah.",i,just like we do in wilkinsburg.,do we pick up wilkinsburg?,"so again, this is the cover, the city's cost, cover, the cost that we would already be doing if we weren't part.","right, right, okay, okay."
"so again, this is the cover, the city's cost, cover, the cost that we would already be doing if we weren't part.",i,do we pick up wilkinsburg?,"yeah, yes, yeah.","right, right, okay, okay.","now shifting to issue that, i don't know if you would even consider something like this, but, like councilman kiel smith said, i'm always about garbage cans."
"right, right, okay, okay.",i,"yeah, yes, yeah.","so again, this is the cover, the city's cost, cover, the cost that we would already be doing if we weren't part.","now shifting to issue that, i don't know if you would even consider something like this, but, like councilman kiel smith said, i'm always about garbage cans.",i'd love to have them every corner.
"now shifting to issue that, i don't know if you would even consider something like this, but, like councilman kiel smith said, i'm always about garbage cans.",b,"so again, this is the cover, the city's cost, cover, the cost that we would already be doing if we weren't part.","right, right, okay, okay.",i'd love to have them every corner.,honestly i would.
i'd love to have them every corner.,b,"right, right, okay, okay.","now shifting to issue that, i don't know if you would even consider something like this, but, like councilman kiel smith said, i'm always about garbage cans.",honestly i would.,i think people use them if you put them out.
honestly i would.,i,"now shifting to issue that, i don't know if you would even consider something like this, but, like councilman kiel smith said, i'm always about garbage cans.",i'd love to have them every corner.,i think people use them if you put them out.,"but if there's a law and they throw it on the ground, it's unfortunate, but that's kind of the way it is."
i think people use them if you put them out.,i,i'd love to have them every corner.,honestly i would.,"but if there's a law and they throw it on the ground, it's unfortunate, but that's kind of the way it is.","so you know, i've been taking up on myself to pick up, clean up- you know, getting volunteers to clean up sides of roads and things of that nature, but most specifically it was the entrance to the liberty tubes, okay, and you know what a mess that was."
"but if there's a law and they throw it on the ground, it's unfortunate, but that's kind of the way it is.",i,honestly i would.,i think people use them if you put them out.,"so you know, i've been taking up on myself to pick up, clean up- you know, getting volunteers to clean up sides of roads and things of that nature, but most specifically it was the entrance to the liberty tubes, okay, and you know what a mess that was.",it was just just the point of the road and the road was just a mess and it was just a mess horrible.
"so you know, i've been taking up on myself to pick up, clean up- you know, getting volunteers to clean up sides of roads and things of that nature, but most specifically it was the entrance to the liberty tubes, okay, and you know what a mess that was.",p,i think people use them if you put them out.,"but if there's a law and they throw it on the ground, it's unfortunate, but that's kind of the way it is.",it was just just the point of the road and the road was just a mess and it was just a mess horrible.,got it all cleaned up.
it was just just the point of the road and the road was just a mess and it was just a mess horrible.,i,"but if there's a law and they throw it on the ground, it's unfortunate, but that's kind of the way it is.","so you know, i've been taking up on myself to pick up, clean up- you know, getting volunteers to clean up sides of roads and things of that nature, but most specifically it was the entrance to the liberty tubes, okay, and you know what a mess that was.",got it all cleaned up.,"i developed a rapport with the people, kind of hang out there."
got it all cleaned up.,i,"so you know, i've been taking up on myself to pick up, clean up- you know, getting volunteers to clean up sides of roads and things of that nature, but most specifically it was the entrance to the liberty tubes, okay, and you know what a mess that was.",it was just just the point of the road and the road was just a mess and it was just a mess horrible.,"i developed a rapport with the people, kind of hang out there.",so you know they know what i expect out of them.
"i developed a rapport with the people, kind of hang out there.",i,it was just just the point of the road and the road was just a mess and it was just a mess horrible.,got it all cleaned up.,so you know they know what i expect out of them.,"they're asking for a garbage can, right, because they're putting their."
so you know they know what i expect out of them.,i,got it all cleaned up.,"i developed a rapport with the people, kind of hang out there.","they're asking for a garbage can, right, because they're putting their.","now i don't weigh in on whether it's right or not for them to be their panhandling, that's, if we're going to allow it as a city, that's fine by me."
"they're asking for a garbage can, right, because they're putting their.",i,"i developed a rapport with the people, kind of hang out there.",so you know they know what i expect out of them.,"now i don't weigh in on whether it's right or not for them to be their panhandling, that's, if we're going to allow it as a city, that's fine by me.",i just don't want syringes there and i don't want them leaving their garbage behind.
"now i don't weigh in on whether it's right or not for them to be their panhandling, that's, if we're going to allow it as a city, that's fine by me.",i,so you know they know what i expect out of them.,"they're asking for a garbage can, right, because they're putting their.",i just don't want syringes there and i don't want them leaving their garbage behind.,you're not going to be told them that.
i just don't want syringes there and i don't want them leaving their garbage behind.,i,"they're asking for a garbage can, right, because they're putting their.","now i don't weigh in on whether it's right or not for them to be their panhandling, that's, if we're going to allow it as a city, that's fine by me.",you're not going to be told them that.,"and they've said and they've started actually to put their- you know- trash in one spot, for me at least."
you're not going to be told them that.,i,"now i don't weigh in on whether it's right or not for them to be their panhandling, that's, if we're going to allow it as a city, that's fine by me.",i just don't want syringes there and i don't want them leaving their garbage behind.,"and they've said and they've started actually to put their- you know- trash in one spot, for me at least.","but you know, they drink, they beverages, they eat."
"and they've said and they've started actually to put their- you know- trash in one spot, for me at least.",i,i just don't want syringes there and i don't want them leaving their garbage behind.,you're not going to be told them that.,"but you know, they drink, they beverages, they eat.",people give them food.
"but you know, they drink, they beverages, they eat.",i,you're not going to be told them that.,"and they've said and they've started actually to put their- you know- trash in one spot, for me at least.",people give them food.,there's garbage that accumulates.
people give them food.,i,"and they've said and they've started actually to put their- you know- trash in one spot, for me at least.","but you know, they drink, they beverages, they eat.",there's garbage that accumulates.,"so, as crazy as it sounds, can we get them a garbage can underneath the liberty to ceremony?"
there's garbage that accumulates.,i,"but you know, they drink, they beverages, they eat.",people give them food.,"so, as crazy as it sounds, can we get them a garbage can underneath the liberty to ceremony?","certainly, we'll talk to our staff to see what we can do about that."
"so, as crazy as it sounds, can we get them a garbage can underneath the liberty to ceremony?",b,people give them food.,there's garbage that accumulates.,"certainly, we'll talk to our staff to see what we can do about that.","yeah, because, because i think that would help."
"certainly, we'll talk to our staff to see what we can do about that.",i,there's garbage that accumulates.,"so, as crazy as it sounds, can we get them a garbage can underneath the liberty to ceremony?","yeah, because, because i think that would help.","as far as my eye goes, when i see a loaf of bread or you know something, laying on the ground there- unsanitary, you know, i'm just like, oh god, so you know."
"yeah, because, because i think that would help.",i,"so, as crazy as it sounds, can we get them a garbage can underneath the liberty to ceremony?","certainly, we'll talk to our staff to see what we can do about that.","as far as my eye goes, when i see a loaf of bread or you know something, laying on the ground there- unsanitary, you know, i'm just like, oh god, so you know.","and then if we're gonna again, if we're gonna allow them to be there every morning, afternoon and do what they do, i'm not, i don't object to that, i object, i don't want the garbage there."
"as far as my eye goes, when i see a loaf of bread or you know something, laying on the ground there- unsanitary, you know, i'm just like, oh god, so you know.",p,"certainly, we'll talk to our staff to see what we can do about that.","yeah, because, because i think that would help.","and then if we're gonna again, if we're gonna allow them to be there every morning, afternoon and do what they do, i'm not, i don't object to that, i object, i don't want the garbage there.","i don't want needle, hypodermic needles there."
"and then if we're gonna again, if we're gonna allow them to be there every morning, afternoon and do what they do, i'm not, i don't object to that, i object, i don't want the garbage there.",i,"yeah, because, because i think that would help.","as far as my eye goes, when i see a loaf of bread or you know something, laying on the ground there- unsanitary, you know, i'm just like, oh god, so you know.","i don't want needle, hypodermic needles there.","if that's the case, i want them out, you know so."
"i don't want needle, hypodermic needles there.",i,"as far as my eye goes, when i see a loaf of bread or you know something, laying on the ground there- unsanitary, you know, i'm just like, oh god, so you know.","and then if we're gonna again, if we're gonna allow them to be there every morning, afternoon and do what they do, i'm not, i don't object to that, i object, i don't want the garbage there.","if that's the case, i want them out, you know so.","so if i, if you would entertain that, i think no, absolutely, yeah, okay, appreciate that, thanks, that's it for me, madam chair."
"if that's the case, i want them out, you know so.",i,"and then if we're gonna again, if we're gonna allow them to be there every morning, afternoon and do what they do, i'm not, i don't object to that, i object, i don't want the garbage there.","i don't want needle, hypodermic needles there.","so if i, if you would entertain that, i think no, absolutely, yeah, okay, appreciate that, thanks, that's it for me, madam chair.","thank you, councilman."
"so if i, if you would entertain that, i think no, absolutely, yeah, okay, appreciate that, thanks, that's it for me, madam chair.",i,"i don't want needle, hypodermic needles there.","if that's the case, i want them out, you know so.","thank you, councilman.",are there any further questions?
"thank you, councilman.",i,"if that's the case, i want them out, you know so.","so if i, if you would entertain that, i think no, absolutely, yeah, okay, appreciate that, thanks, that's it for me, madam chair.",are there any further questions?,"if not, i have a couple myself."
are there any further questions?,i,"so if i, if you would entertain that, i think no, absolutely, yeah, okay, appreciate that, thanks, that's it for me, madam chair.","thank you, councilman.","if not, i have a couple myself.",anyone online?
"if not, i have a couple myself.",i,"thank you, councilman.",are there any further questions?,anyone online?,"okay, thank you."
anyone online?,p,are there any further questions?,"if not, i have a couple myself.","okay, thank you.",first i want to thank you for arranging this arrangement.
"okay, thank you.",i,"if not, i have a couple myself.",anyone online?,first i want to thank you for arranging this arrangement.,"it's great and it's much needed, and although i don't see the exact same volume of these kind of move out issues right around the part of oakland that i represent as much as council person."
first i want to thank you for arranging this arrangement.,b,anyone online?,"okay, thank you.","it's great and it's much needed, and although i don't see the exact same volume of these kind of move out issues right around the part of oakland that i represent as much as council person.","charlotte, it's definitely noticeable."
"it's great and it's much needed, and although i don't see the exact same volume of these kind of move out issues right around the part of oakland that i represent as much as council person.",i,"okay, thank you.",first i want to thank you for arranging this arrangement.,"charlotte, it's definitely noticeable.",we know it's been an issue every year.
"charlotte, it's definitely noticeable.",i,first i want to thank you for arranging this arrangement.,"it's great and it's much needed, and although i don't see the exact same volume of these kind of move out issues right around the part of oakland that i represent as much as council person.",we know it's been an issue every year.,opdc and pitt have tried- you know numerous different strategies and so i'm glad this is happening.
we know it's been an issue every year.,i,"it's great and it's much needed, and although i don't see the exact same volume of these kind of move out issues right around the part of oakland that i represent as much as council person.","charlotte, it's definitely noticeable.",opdc and pitt have tried- you know numerous different strategies and so i'm glad this is happening.,"and i also want to thank you, director, for making the time, taking the time to call each of the council members in oakland to give us a heads up about this and allow us to ask our own questions about this."
opdc and pitt have tried- you know numerous different strategies and so i'm glad this is happening.,i,"charlotte, it's definitely noticeable.",we know it's been an issue every year.,"and i also want to thank you, director, for making the time, taking the time to call each of the council members in oakland to give us a heads up about this and allow us to ask our own questions about this.","so i don't think i have too many questions, only to say that i think what we discussed was looking at this to see if we can learn something, whether we can apply it to other neighborhoods."
"and i also want to thank you, director, for making the time, taking the time to call each of the council members in oakland to give us a heads up about this and allow us to ask our own questions about this.",i,we know it's been an issue every year.,opdc and pitt have tried- you know numerous different strategies and so i'm glad this is happening.,"so i don't think i have too many questions, only to say that i think what we discussed was looking at this to see if we can learn something, whether we can apply it to other neighborhoods.","i mean, of course, i'm sure that you know it's it's a, it's a, it's a."
"so i don't think i have too many questions, only to say that i think what we discussed was looking at this to see if we can learn something, whether we can apply it to other neighborhoods.",i,opdc and pitt have tried- you know numerous different strategies and so i'm glad this is happening.,"and i also want to thank you, director, for making the time, taking the time to call each of the council members in oakland to give us a heads up about this and allow us to ask our own questions about this.","i mean, of course, i'm sure that you know it's it's a, it's a, it's a.","it's a difficult decision to make, but i do believe it would be okay."
"i mean, of course, i'm sure that you know it's it's a, it's a, it's a.",i,"and i also want to thank you, director, for making the time, taking the time to call each of the council members in oakland to give us a heads up about this and allow us to ask our own questions about this.","so i don't think i have too many questions, only to say that i think what we discussed was looking at this to see if we can learn something, whether we can apply it to other neighborhoods.","it's a difficult decision to make, but i do believe it would be okay.",you know i could not ask out a lot more.
"it's a difficult decision to make, but i do believe it would be okay.",i,"so i don't think i have too many questions, only to say that i think what we discussed was looking at this to see if we can learn something, whether we can apply it to other neighborhoods.","i mean, of course, i'm sure that you know it's it's a, it's a, it's a.",you know i could not ask out a lot more.,"i mean like, yeah, i'm definitely grateful that we can support it, but i think it's really important to add on a lot of these things just to how one might think that downtown, with what we call an offense boxes- i don't know as a community- can be had on right without treasurables for those issues."
you know i could not ask out a lot more.,i,"i mean, of course, i'm sure that you know it's it's a, it's a, it's a.","it's a difficult decision to make, but i do believe it would be okay.","i mean like, yeah, i'm definitely grateful that we can support it, but i think it's really important to add on a lot of these things just to how one might think that downtown, with what we call an offense boxes- i don't know as a community- can be had on right without treasurables for those issues.","and you know, i think to t ending as a publicstal of a process that could be combined in this project- is role will always stay in one place, on the land and the level of works that you would like to see."
"i mean like, yeah, i'm definitely grateful that we can support it, but i think it's really important to add on a lot of these things just to how one might think that downtown, with what we call an offense boxes- i don't know as a community- can be had on right without treasurables for those issues.",i,"it's a difficult decision to make, but i do believe it would be okay.",you know i could not ask out a lot more.,"and you know, i think to t ending as a publicstal of a process that could be combined in this project- is role will always stay in one place, on the land and the level of works that you would like to see.",so it's not a law firm that who will be the first to deal with theimer.
"and you know, i think to t ending as a publicstal of a process that could be combined in this project- is role will always stay in one place, on the land and the level of works that you would like to see.",i,you know i could not ask out a lot more.,"i mean like, yeah, i'm definitely grateful that we can support it, but i think it's really important to add on a lot of these things just to how one might think that downtown, with what we call an offense boxes- i don't know as a community- can be had on right without treasurables for those issues.",so it's not a law firm that who will be the first to deal with theimer.,can you just answer that question?
so it's not a law firm that who will be the first to deal with theimer.,i,"i mean like, yeah, i'm definitely grateful that we can support it, but i think it's really important to add on a lot of these things just to how one might think that downtown, with what we call an offense boxes- i don't know as a community- can be had on right without treasurables for those issues.","and you know, i think to t ending as a publicstal of a process that could be combined in this project- is role will always stay in one place, on the land and the level of works that you would like to see.",can you just answer that question?,"okay, there's so much more to consider, but i think this, this collector, also works as a part of Great."
can you just answer that question?,i,"and you know, i think to t ending as a publicstal of a process that could be combined in this project- is role will always stay in one place, on the land and the level of works that you would like to see.",so it's not a law firm that who will be the first to deal with theimer.,"okay, there's so much more to consider, but i think this, this collector, also works as a part of Great.","My question is: the amendment moves from like a discrete number of 15 occasions- 3,000 per event- to actual costs incurred."
"okay, there's so much more to consider, but i think this, this collector, also works as a part of Great.",i,so it's not a law firm that who will be the first to deal with theimer.,can you just answer that question?,"My question is: the amendment moves from like a discrete number of 15 occasions- 3,000 per event- to actual costs incurred.",What was the reason for that change?
"My question is: the amendment moves from like a discrete number of 15 occasions- 3,000 per event- to actual costs incurred.",b,can you just answer that question?,"okay, there's so much more to consider, but i think this, this collector, also works as a part of Great.",What was the reason for that change?,And I know we said it'll be cost incurred.
What was the reason for that change?,i,"okay, there's so much more to consider, but i think this, this collector, also works as a part of Great.","My question is: the amendment moves from like a discrete number of 15 occasions- 3,000 per event- to actual costs incurred.",And I know we said it'll be cost incurred.,"We don't really know until we do it, but do we have a rough estimate of what that'll be?"
And I know we said it'll be cost incurred.,i,"My question is: the amendment moves from like a discrete number of 15 occasions- 3,000 per event- to actual costs incurred.",What was the reason for that change?,"We don't really know until we do it, but do we have a rough estimate of what that'll be?","Is it still going to be roughly 3,000 per pickup or total or anything more?"
